knum	threshold	score_type	profile_type	F-measure	nseq	nseq_used	alen	mlen	eff_nseq	re/pos	definition
K00001	340.43	domain	all	0.282947	2793	2330	2059	437	12.40	0.590	alcohol dehydrogenase [EC:1.1.1.1]
K00002	472.13	full	all	0.423383	2798	2679	7276	513	8.00	0.590	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
K00003	287.93	domain	all	0.948785	6982	6045	3257	831	8.66	0.590	homoserine dehydrogenase [EC:1.1.1.3]
K00004	366.93	domain	all	0.837120	1756	1489	1186	374	4.69	0.590	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]
K00005	329.43	full	all	0.976818	1584	1175	762	372	2.17	0.591	glycerol dehydrogenase [EC:1.1.1.6]
K00006	324.73	full	all	0.905888	2568	2381	3746	627	4.91	0.590	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]
K00007	509.43	full	all	0.998358	381	304	833	467	1.02	0.590	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00008	426.73	full	all	0.523068	4301	3822	3768	487	7.29	0.590	L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00009	152.83	full	all	0.997745	1703	1332	1776	719	2.99	0.590	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
K00010	274.63	domain	all	0.863646	4318	3818	2657	437	10.65	0.590	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00011	552.10	domain	all	0.769222	1652	1593	3909	499	3.24	0.590	aldehyde reductase [EC:1.1.1.21]
K00012	380.77	full	all	0.941091	9563	8475	6051	647	6.25	0.590	UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K00013	519.97	domain	all	0.933681	7367	6503	3545	700	4.91	0.590	histidinol dehydrogenase [EC:1.1.1.23]
K00014	275.37	domain	all	0.930599	4675	3945	1801	435	4.62	0.590	shikimate dehydrogenase [EC:1.1.1.25]
K00015	427.10	domain	all	0.774816	1981	1790	1565	540	4.25	0.590	glyoxylate reductase [EC:1.1.1.26]
K00016	308.77	full	all	0.905303	6309	5063	4040	620	7.25	0.590	L-lactate dehydrogenase [EC:1.1.1.27]
K00018	321.47	domain	all	0.994449	1661	1541	666	329	2.35	0.590	glycerate dehydrogenase [EC:1.1.1.29]
K00019	184.13	domain	all	0.487221	4981	4457	4569	525	11.10	0.590	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K00020	357.73	full	all	0.598748	8121	7212	4023	595	12.19	0.590	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00021	205.50	full	all	0.999117	2415	2268	6301	825	4.28	0.590	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K00022	364.97	domain	trim	0.782935	1001	955	1933	443	5.01	0.590	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
K00023	332.43	domain	trim	0.951346	2428	1981	721	349	3.76	0.590	acetoacetyl-CoA reductase [EC:1.1.1.36]
K00024	371.37	domain	all	0.813851	6313	5061	1479	462	6.54	0.590	malate dehydrogenase [EC:1.1.1.37]
K00025	534.00	full	all	0.917185	1361	1207	1991	441	4.62	0.590	malate dehydrogenase [EC:1.1.1.37]
K00026	515.87	full	all	0.863923	2364	2187	3971	543	5.84	0.590	malate dehydrogenase [EC:1.1.1.37]
K00027	511.83	domain	all	0.735531	5897	4931	4205	589	3.28	0.590	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
K00028	750.70	domain	all	0.968030	434	403	1365	607	1.02	0.589	malate dehydrogenase (decarboxylating) [EC:1.1.1.39]
K00029	306.00	domain	trim	0.576271	7552	6612	5290	744	3.24	0.590	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00030	430.30	full	all	0.936009	4241	3797	5424	486	4.47	0.590	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
K00031	155.37	full	trim	0.902687	10095	8583	4484	659	5.91	0.590	isocitrate dehydrogenase [EC:1.1.1.42]
K00032	501.60	domain	all	0.869670	212	193	392	325	0.89	0.590	phosphogluconate 2-dehydrogenase [EC:1.1.1.43]
K00033	145.90	domain	all	0.998840	8651	7328	4636	611	4.08	0.590	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00034	346.07	domain	all	0.743524	1588	1419	864	360	5.59	0.590	glucose 1-dehydrogenase [EC:1.1.1.47]
K00035	363.13	full	all	0.813404	545	476	533	308	1.26	0.589	D-galactose 1-dehydrogenase [EC:1.1.1.48]
K00036	370.97	full	all	0.994776	9562	8161	6350	599	3.72	0.590	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
K00037	660.30	domain	trim	0.700138	44	42	446	323	0.60	0.589	3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase [EC:1.1.1.50 1.1.1.357 1.1.1.225]
K00038	309.83	domain	trim	0.853777	1460	1338	906	482	3.22	0.590	3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00039	252.70	domain	all	0.998505	429	335	363	242	1.12	0.590	ribitol 2-dehydrogenase [EC:1.1.1.56]
