K00844	HKhexokinase[EC2.7.1.1]
K12407	GCKglucokinase[EC2.7.1.2]
K00845	glkglucokinase[EC2.7.1.2]
K25026	glkglucokinase[EC2.7.1.2]
K01810	GPIpgiglucose-6-phosphateisomerase[EC5.3.1.9]
K06859	pgi1glucose-6-phosphateisomerasearchaeal[EC5.3.1.9]
K13810	tal-pgitransaldolase/glucose-6-phosphateisomerase[EC2.2.1.25.3.1.9]
K15916	pgi-pmiglucose/mannose-6-phosphateisomerase[EC5.3.1.95.3.1.8]
K24182	PFK96-phosphofructokinase[EC2.7.1.11]
K00850	pfkAPFK6-phosphofructokinase1[EC2.7.1.11]
K16370	pfkB6-phosphofructokinase2[EC2.7.1.11]
K21071	pfkpfpATP-dependentphosphofructokinase/diphosphate-dependentphosphofructokinase[EC2.7.1.112.7.1.90]
K00918	pfkCADP-dependentphosphofructokinase/glucokinase[EC2.7.1.1462.7.1.147]
K00895	pfpPFPdiphosphate-dependentphosphofructokinase[EC2.7.1.90]
K03841	FBPfbpfructose-16-bisphosphataseI[EC3.1.3.11]
K02446	glpXfructose-16-bisphosphataseII[EC3.1.3.11]
K11532	glpX-SEBPfructose-16-bisphosphataseII/sedoheptulose-17-bisphosphatase[EC3.1.3.113.1.3.37]
K01086	fbp-SEBPfructose-16-bisphosphataseI/sedoheptulose-17-bisphosphatase[EC3.1.3.113.1.3.37]
K04041	fbp3fructose-16-bisphosphataseIII[EC3.1.3.11]
K01623	ALDOfructose-bisphosphatealdolaseclassI[EC4.1.2.13]
K11645	fbaBfructose-bisphosphatealdolaseclassI[EC4.1.2.13]
K01624	FBAfbaAfructose-bisphosphatealdolaseclassII[EC4.1.2.13]
K01622	K01622fructose16-bisphosphatealdolase/phosphatase[EC4.1.2.133.1.3.11]
K16305	K16305fructose-bisphosphatealdolase/6-deoxy-5-ketofructose1-phosphatesynthase[EC4.1.2.132.2.1.11]
K16306	K16306fructose-bisphosphatealdolase/2-amino-37-dideoxy-D-threo-hept-6-ulosonatesynthase[EC4.1.2.132.2.1.10]
K01803	TPItpiAtriosephosphateisomerase(TIM)[EC5.3.1.1]
K00134	GAPDHgapAglyceraldehyde3-phosphatedehydrogenase(phosphorylating)[EC1.2.1.12]
K10705	GAPDHSglyceraldehyde-3-phosphatedehydrogenase(phosphorylating)spermatogenic[EC1.2.1.12]
K00150	gap2gapBglyceraldehyde-3-phosphatedehydrogenase(NAD(P)+)(phosphorylating)[EC1.2.1.59]
K00927	PGKpgkphosphoglyceratekinase[EC2.7.2.3]
K01834	PGAMgpmA23-bisphosphoglycerate-dependentphosphoglyceratemutase[EC5.4.2.11]
K15634	gpmB23-bisphosphoglycerate-dependentphosphoglyceratemutase[EC5.4.2.11]
K15633	gpmI23-bisphosphoglycerate-independentphosphoglyceratemutase[EC5.4.2.12]
K15635	apgM23-bisphosphoglycerate-independentphosphoglyceratemutase[EC5.4.2.12]
K01689	ENOenoenolase[EC4.2.1.11]
K00873	PKpykpyruvatekinase[EC2.7.1.40]
K12406	PKLRpyruvatekinaseisozymesR/L[EC2.7.1.40]
K01006	ppdKpyruvateorthophosphatedikinase[EC2.7.9.1]
K01007	ppsppsApyruvatewaterdikinase[EC2.7.9.2]
K00163	aceEpyruvatedehydrogenaseE1component[EC1.2.4.1]
K00161	PDHApdhApyruvatedehydrogenaseE1componentsubunitalpha[EC1.2.4.1]
K00162	PDHBpdhBpyruvatedehydrogenaseE1componentsubunitbeta[EC1.2.4.1]
K00627	DLATaceFpdhCpyruvatedehydrogenaseE2component(dihydrolipoyllysine-residueacetyltransferase)[EC2.3.1.12]
K00382	DLDlpdpdhDdihydrolipoyldehydrogenase[EC1.8.1.4]
K13997	PDHXdihydrolipoamidedehydrogenase-bindingproteinofpyruvatedehydrogenasecomplex
K00169	porApyruvateferredoxinoxidoreductasealphasubunit[EC1.2.7.1]
K00170	porBpyruvateferredoxinoxidoreductasebetasubunit[EC1.2.7.1]
K00172	porCporGpyruvateferredoxinoxidoreductasegammasubunit[EC1.2.7.1]
K00189	vorGporG2-oxoisovalerate/pyruvateferredoxinoxidoreductasegammasubunit[EC1.2.7.71.2.7.1]
K00171	porDpyruvateferredoxinoxidoreductasedeltasubunit[EC1.2.7.1]
K03737	pornifJpyruvate-ferredoxin/flavodoxinoxidoreductase[EC1.2.7.11.2.7.-]
K00174	korAoorAoforA2-oxoglutarate/2-oxoacidferredoxinoxidoreductasesubunitalpha[EC1.2.7.31.2.7.11]
K00175	korBoorBoforB2-oxoglutarate/2-oxoacidferredoxinoxidoreductasesubunitbeta[EC1.2.7.31.2.7.11]
K00016	LDHldhL-lactatedehydrogenase[EC1.1.1.27]
K01568	PDCpdcpyruvatedecarboxylase[EC4.1.1.1]
K13951	ADH17alcoholdehydrogenase1/7[EC1.1.1.1]
K13980	ADH4alcoholdehydrogenase4[EC1.1.1.1]
K00121	frmAADH5adhCS-(hydroxymethyl)glutathionedehydrogenase/alcoholdehydrogenase[EC1.1.1.2841.1.1.1]
K13952	ADH6alcoholdehydrogenase6[EC1.1.1.1]
K04072	adhEacetaldehydedehydrogenase/alcoholdehydrogenase[EC1.2.1.101.1.1.1]
K13953	adhPalcoholdehydrogenasepropanol-preferring[EC1.1.1.1]
K13954	yiaYalcoholdehydrogenase[EC1.1.1.1]
K18857	ADH1alcoholdehydrogenaseclass-P[EC1.1.1.1]
K00001	E1.1.1.1adhalcoholdehydrogenase[EC1.1.1.1]
K00002	AKR1A1adhalcoholdehydrogenase(NADP+)[EC1.1.1.2]
K12957	ahralcohol/geranioldehydrogenase(NADP+)[EC1.1.1.21.1.1.183]
K13979	yahKalcoholdehydrogenase(NADP+)[EC1.1.1.2]
K14028	mdh1mxaFmethanoldehydrogenase(cytochromec)subunit1[EC1.1.2.7]
K14029	mdh2mxaImethanoldehydrogenase(cytochromec)subunit2[EC1.1.2.7]
K00114	exaAalcoholdehydrogenase(cytochromec)[EC1.1.2.8]
