K02869|RP-L12,_rpl12;_large_subunit_ribosomal_protein_L12
K03408|cheW;_purine-binding_chemotaxis_protein_CheW
K23144|K23144;_UDP-N-acetylglucosamine_diphosphorylase_/_glucose-1-phosphate_thymidylyltransferase_/_UDP-N-acetylgalactosamine_diphosphorylase_/_glucosamine-1-phosphate_N-acetyltransferase_/_galactosamine-1-phosphate_N-acetyltransferase_[EC:2.7.7.23_2.7.7.24_2.7.7.83_2.3.1.157_2.3.1.276]
K19139|csm4;_CRISPR-associated_protein_Csm4
K02574|napH;_ferredoxin-type_protein_NapH
K07038|K07038;_inner_membrane_protein
K03555|mutS;_DNA_mismatch_repair_protein_MutS
K04483|radA;_DNA_repair_protein_RadA
K01265|map;_methionyl_aminopeptidase_[EC:3.4.11.18]
K00936|pdtaS;_two-component_system,_sensor_histidine_kinase_PdtaS_[EC:2.7.13.3]
K26937|dinF,_mepA,_vmrA;_MATE_family,_multidrug_efflux_pump
K01607|pcaC;_4-carboxymuconolactone_decarboxylase_[EC:4.1.1.44]
K03113|EIF1,_SUI1;_translation_initiation_factor_1
K00986|ltrA;_RNA-directed_DNA_polymerase_[EC:2.7.7.49]
K02319|pol;_DNA_polymerase,_archaea_type_[EC:2.7.7.7]
K02008|cbiQ;_cobalt/nickel_transport_system_permease_protein
K02034|ABC.PE.P1;_peptide/nickel_transport_system_permease_protein
K07487|K07487;_transposase
K07388|K07388;_hydrogenase_expression/formation_protein
K01552|ecfA;_energy-coupling_factor_transport_system_ATP-binding_protein_[EC:7.-.-.-]
K03725|K03725;_putative_ATP-dependent_RNA_helicase_[EC:3.6.4.-]
K00575|cheR;_chemotaxis_protein_methyltransferase_CheR_[EC:2.1.1.80]
K01992|ABC-2.P;_ABC-2_type_transport_system_permease_protein
K10713|fae;_5,6,7,8-tetrahydromethanopterin_hydro-lyase_[EC:4.2.1.147]
K01892|HARS,_hisS;_histidyl-tRNA_synthetase_[EC:6.1.1.21]
K02502|hisZ;_ATP_phosphoribosyltransferase_regulatory_subunit
K09825|perR;_Fur_family_transcriptional_regulator,_peroxide_stress_response_regulator
K02004|ABC.CD.P;_putative_ABC_transport_system_permease_protein
K13963|SERPINB;_serpin_B
K13525|VCP,_CDC48;_transitional_endoplasmic_reticulum_ATPase
K02017|modC;_molybdate_transport_system_ATP-binding_protein_[EC:7.3.2.5]
K00433|cpo;_non-heme_chloroperoxidase_[EC:1.11.1.10]
K01881|PARS,_proS;_prolyl-tRNA_synthetase_[EC:6.1.1.15]
K15740|mptN;_tetrahydromethanopterin:alpha-L-glutamate_ligase_[EC:6.3.2.33]
K08221|yitG,_ymfD,_yfmO;_MFS_transporter,_ACDE_family,_multidrug_resistance_protein
K00148|fdhA;_glutathione-independent_formaldehyde_dehydrogenase_[EC:1.2.1.46]
K07480|insB;_insertion_element_IS1_protein_InsB
K03973|pspC;_phage_shock_protein_C
K07484|K07484;_transposase
K07332|flaI;_archaeal_flagellar_protein_FlaI
K04758|feoA;_ferrous_iron_transport_protein_A
K02995|RP-S8e,_RPS8;_small_subunit_ribosomal_protein_S8e
K07218|nosD;_nitrous_oxidase_accessory_protein
K00104|glcD;_glycolate_dehydrogenase_FAD-linked_subunit_[EC:1.1.99.14]
K02924|RP-L39e,_RPL39;_large_subunit_ribosomal_protein_L39e
K07572|K07572;_putative_nucleotide_binding_protein
K07452|mcrB;_5-methylcytosine-specific_restriction_enzyme_B_[EC:3.1.21.-]
K02035|ABC.PE.S;_peptide/nickel_transport_system_substrate-binding_protein
K19824|fprB;_rubrerythrin
K18882|priL,_pri2,_priB;_DNA_primase_large_subunit
K16870|wbbL;_N-acetylglucosaminyl-diphospho-decaprenol_L-rhamnosyltransferase_[EC:2.4.1.289]
K03627|MBF1;_putative_transcription_factor
K10026|queE;_7-carboxy-7-deazaguanine_synthase_[EC:4.3.99.3]
K02346|dinB;_DNA_polymerase_IV_[EC:2.7.7.7]
K04479|dbh;_DNA_polymerase_IV_(archaeal_DinB-like_DNA_polymerase)_[EC:2.7.7.7]
K03564|BCP,_PRXQ,_DOT5;_thioredoxin-dependent_peroxiredoxin_[EC:1.11.1.24]
K03636|moaD,_cysO;_sulfur-carrier_protein
K04759|feoB;_ferrous_iron_transport_protein_B
K02889|RP-L21e,_RPL21;_large_subunit_ribosomal_protein_L21e
K03166|top6A;_DNA_topoisomerase_VI_subunit_A_[EC:5.6.2.2]
K06330|cotH;_spore_coat_protein_H
K04655|hypE;_hydrogenase_expression/formation_protein_HypE
K01858|INO1,_ISYNA1;_myo-inositol-1-phosphate_synthase_[EC:5.5.1.4]
K07495|K07495;_putative_transposase
K04794|PTH2,_PTRH2;_peptidyl-tRNA_hydrolase,_PTH2_family_[EC:3.1.1.29]
K11527|K11527;_two-component_system,_sensor_histidine_kinase_and_response_regulator_[EC:2.7.13.3]
K20974|K20974;_two-component_system,_sensor_histidine_kinase_[EC:2.7.13.3]
K03420|psmR;_proteasome_regulatory_subunit
K12960|mtaD;_5-methylthioadenosine/S-adenosylhomocysteine_deaminase_[EC:3.5.4.31_3.5.4.28]
K00598|tam;_trans-aconitate_2-methyltransferase_[EC:2.1.1.144]
K03236|EIF1A;_translation_initiation_factor_1A
K01915|glnA,_GLUL;_glutamine_synthetase_[EC:6.3.1.2]
K07481|K07481;_transposase,_IS5_family
K04069|pflA,_pflC,_pflE;_pyruvate_formate_lyase_activating_enzyme_[EC:1.97.1.4]
K16317|trmY;_tRNA_(pseudouridine54-N1)-methyltransferase_[EC:2.1.1.257]
K03453|TC.BASS;_bile_acid:Na+_symporter,_BASS_family
K07333|flaJ;_archaeal_flagellar_protein_FlaJ
K02019|modE;_molybdate_transport_system_regulatory_protein
K10747|LIG1;_DNA_ligase_1_[EC:6.5.1.1_6.5.1.6_6.5.1.7]
K07492|K07492;_putative_transposase
K21001|pslH;_polysaccharide_biosynthesis_protein_PslH
K03053|rpoH;_DNA-directed_RNA_polymerase_subunit_H_[EC:2.7.7.6]
K06402|spoIVFB;_stage_IV_sporulation_protein_FB_[EC:3.4.24.-]
K22160|fpoC;_F420H2_dehydrogenase_subunit_C_[EC:1.5.98.3]
K03702|uvrB;_excinuclease_ABC_subunit_B
K01478|arcA;_arginine_deiminase_[EC:3.5.3.6]
K07142|mptE;_2-amino-4-hydroxy-6-hydroxymethyldihydropteridine_diphosphokinase_[EC:2.7.6.3]
K00858|ppnK,_NADK;_NAD+_kinase_[EC:2.7.1.23]
K03752|mobA;_molybdenum_cofactor_guanylyltransferase_[EC:2.7.7.77]
K03058|rpoN;_DNA-directed_RNA_polymerase_subunit_N_[EC:2.7.7.6]
K07331|flaH;_archaeal_flagellar_protein_FlaH
K07489|K07489;_transposase
K07722|nikR;_CopG_family_transcriptional_regulator,_nickel-responsive_regulator
K02427|rlmE,_rrmJ,_ftsJ;_23S_rRNA_(uridine2552-2'-O)-methyltransferase_[EC:2.1.1.166]
